protocol,seed,held_out,group,count,mean,std,median,q25,q75,min,max,entropy_source
loso,42,36-1,malicious,20003,0.28543392271528734,0.032870722561886424,0.29449171029782417,0.29449171029782417,0.3177110757093272,0.2326579753120142,1.0925014657010954,probabilities
loso,42,39-1,known_correct,17836,0.04450744269331438,0.14142647979683426,0.013953146220958973,0.013953146220958973,0.02498242528615415,5.965633957414782e-29,1.1584946083651961,probabilities
loso,42,39-1,known_incorrect,1708,0.8733677146790315,0.26147871627102076,0.8937417566612611,0.8524213171200319,0.9242607746928158,2.1804254730517507e-22,1.4437683886066937,probabilities
loso,42,39-1,absent_from_train,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
loso,42,39-1,benign,7337,0.08962744076777232,0.21651810605167338,0.025656926184259937,0.0009055545619357312,0.07724367700804632,5.965633957414782e-29,1.1584946083651961,probabilities
loso,42,39-1,malicious,12207,0.1333620276592607,0.31244414694216677,0.013953146220958973,0.013953146220958973,0.013953146220958973,2.1804254730517507e-22,1.4437683886066937,probabilities
loso,42,9-1,known_correct,19802,0.20031392210635204,0.18147639208248553,0.13286267085651324,0.13286267085651324,0.15522360631205628,0.004922344423992867,1.6255062681732675,probabilities
loso,42,9-1,known_incorrect,198,0.6145590964562269,0.35466110306351106,0.4624364977886978,0.33984489542074603,0.9128625843488993,0.0781690292729268,1.4679520627074452,probabilities
loso,42,9-1,absent_from_train,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
loso,42,9-1,benign,10000,0.2736000366509189,0.24717880830331387,0.15504283659063373,0.09877475124364175,0.41466493335092636,0.004922344423992867,1.6255062681732675,probabilities
loso,42,9-1,malicious,10000,0.13522986201391282,0.019982909826378247,0.13286267085651324,0.13286267085651324,0.13286267085651324,0.13286267085651324,0.6960769048177465,probabilities
pooled,42,ALL,known_correct,23953,0.0550240802633132,0.10113186102105555,0.008453025731896468,0.0004325665909533995,0.04507030541385026,1.3601032527688711e-06,1.2068179579151324,probabilities
pooled,42,ALL,known_incorrect,348,0.4007456495021595,0.32342016604963125,0.2761839017259169,0.23546910206274943,0.5341080621790472,6.614444870195457e-06,1.3953048295487,probabilities
pooled,42,ALL,absent_from_train,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
pooled,42,ALL,benign,7276,0.030178051459252668,0.10001011843350192,0.0002989364611271957,0.0002195370837787256,0.009701110231529902,1.3601032527688711e-06,1.262764965877559,probabilities
pooled,42,ALL,malicious,17025,0.07270929680801001,0.11882609741087123,0.011106033292554638,0.0051261736579308725,0.09486096421648453,2.793760041730542e-05,1.3953048295487,probabilities
